Time Stamp,Record Type,Channel,Parameter Code,Parameter Value,Unnamed: 5
92:10:00:00,3,0,13:Ambient Temperature,27.00055,
92:10:00:00,3,0,14:LN2 Level,0.0,
92:10:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:10:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:10:00:00,3,1,16:Charge Loop DC Level,-0.4,
92:11:00:00,3,0,11:PRTD 1,-157.6698,
92:11:00:00,3,0,12:PRTD 2,-199.20032,
92:11:00:00,3,0,13:Ambient Temperature,27.20462,
92:11:00:00,3,0,14:LN2 Level,0.0,
92:11:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:11:00:00,3,1,73:DC Detector Leakage Current,10.582031,
92:11:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
92:12:00:00,3,0,11:PRTD 1,-157.66417,
92:12:00:00,3,0,12:PRTD 2,-199.1949,
92:12:00:00,3,0,13:Ambient Temperature,27.408691,
92:12:00:00,3,0,14:LN2 Level,0.0,
92:12:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:12:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:12:00:00,3,1,16:Charge Loop DC Level,-0.4,
92:13:00:00,3,0,11:PRTD 1,-157.70929,
92:13:00:00,3,0,12:PRTD 2,-199.18947,
92:13:00:00,3,0,13:Ambient Temperature,26.796448,
92:13:00:00,3,0,14:LN2 Level,0.0,
92:13:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:13:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:13:00:00,3,1,16:Charge Loop DC Level,-0.4,
92:14:00:00,3,0,11:PRTD 1,-157.698,
92:14:00:00,3,0,12:PRTD 2,-199.20032,
92:14:00:00,3,0,13:Ambient Temperature,26.796448,
92:14:00:00,3,0,14:LN2 Level,0.0,
92:14:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:14:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:14:00:00,3,1,16:Charge Loop DC Level,-0.4,
92:15:00:00,3,0,11:PRTD 1,-157.6698,
92:15:00:00,3,0,12:PRTD 2,-199.20032,
92:15:00:00,3,0,13:Ambient Temperature,27.20462,
92:15:00:00,3,0,14:LN2 Level,0.0,
92:15:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:15:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:15:00:00,3,1,16:Charge Loop DC Level,-0.4,
92:16:00:00,3,0,11:PRTD 1,-157.70929,
92:16:00:00,3,0,12:PRTD 2,-199.16777,
92:16:00:00,3,0,13:Ambient Temperature,27.00055,
92:16:00:00,3,0,14:LN2 Level,0.0,
92:16:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:16:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:16:00:00,3,1,16:Charge Loop DC Level,-0.4,
92:17:00:00,3,0,11:PRTD 1,-157.72057,
92:17:00:00,3,0,12:PRTD 2,-199.20575,
92:17:00:00,3,0,13:Ambient Temperature,26.796448,
92:17:00:00,3,0,14:LN2 Level,0.0,
92:17:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:17:00:00,3,1,73:DC Detector Leakage Current,10.582031,
92:17:00:00,3,1,16:Charge Loop DC Level,-0.37999997,
92:18:00:00,3,0,11:PRTD 1,-157.698,
92:18:00:00,3,0,12:PRTD 2,-199.20032,
92:18:00:00,3,0,13:Ambient Temperature,27.20462,
92:18:00:00,3,0,14:LN2 Level,0.0,
92:18:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:18:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:18:00:00,3,1,16:Charge Loop DC Level,-0.4,
92:19:00:00,3,0,11:PRTD 1,-157.70364,
92:19:00:00,3,0,12:PRTD 2,-199.18405,
92:19:00:00,3,0,13:Ambient Temperature,27.20462,
92:19:00:00,3,0,14:LN2 Level,0.0,
92:19:00:00,3,1,15:AC Detector Leakage Current,-262.0,
92:19:00:00,3,1,73:DC Detector Leakage Current,0.0,
92:19:00:00,3,1,16:Charge Loop DC Level,-0.4,
92:20:00:00,3,0,11:PRTD 1,-157.7262,
92:20:00:00,3,0,12:PRTD 2,-199.1949,
92:20:00:00,3,0,13:Ambient Temperature,26.796448,
92:20:00:00,3,0,14:LN2 Level,0.0,
92:20:00:00,3,1,15:AC Detector Leakage Current,-262.0,
