Time Stamp,Record Type,Channel,Parameter Code,Parameter Value
42:22:00:00,3,1,16:Charge Loop DC Level,-0.4
42:23:00:00,3,0,11:PRTD 1,-156.67694
42:23:00:00,3,0,12:PRTD 2,-199.07013
42:23:00:00,3,0,13:Ambient Temperature,28.633179
42:23:00:00,3,0,14:LN2 Level,0
42:23:00:00,3,1,15:AC Detector Leakage Current,-262
42:23:00:00,3,1,73:DC Detector Leakage Current,0
42:23:00:00,3,1,16:Charge Loop DC Level,-0.4
43:00:00:00,3,0,11:PRTD 1,-156.65437
43:00:00:00,3,0,12:PRTD 2,-199.08098
43:00:00:00,3,0,13:Ambient Temperature,28.83728
43:00:00:00,3,0,14:LN2 Level,0
43:00:00:00,3,1,15:AC Detector Leakage Current,-262
43:00:00:00,3,1,73:DC Detector Leakage Current,-10.582001
43:00:00:00,3,1,16:Charge Loop DC Level,-0.42
43:01:00:00,3,0,11:PRTD 1,-156.64873
43:01:00:00,3,0,12:PRTD 2,-199.09183
43:01:00:00,3,0,13:Ambient Temperature,28.83728
43:01:00:00,3,0,14:LN2 Level,0
43:01:00:00,3,1,15:AC Detector Leakage Current,-262
43:01:00:00,3,1,73:DC Detector Leakage Current,0
43:01:00:00,3,1,16:Charge Loop DC Level,-0.4
43:02:00:00,3,0,11:PRTD 1,-156.68259
43:02:00:00,3,0,12:PRTD 2,-199.07556
43:02:00:00,3,0,13:Ambient Temperature,28.429108
43:02:00:00,3,0,14:LN2 Level,0
43:02:00:00,3,1,15:AC Detector Leakage Current,-262
